player,position,dob,caps,club,flag,year,start_date,country,dob_dt,days_old
Federico Méndez,Hooker,2 August 1972,5.0,Marista Rugby Club,Argentina,1991,1991-10-03,Argentina,1972-08-02,7001.0
Ricardo Le Fort,Hooker,13 October 1965,5.0,Tucumán Rugby Club,Argentina,1991,1991-10-03,Argentina,1965-10-13,9486.0
Mariano Bosch,Hooker,9 August 1962,0.0,Olivos Rugby Club,Argentina,1991,1991-10-03,Argentina,1962-08-09,10647.0
Mariano Lombardi,Hooker,19 August 1968,0.0,Asociación Alumni,Argentina,1991,1991-10-03,Argentina,1968-08-19,8445.0
Manuel Aguirre,Prop,28 July 1959,2.0,Asociación Alumni,Argentina,1991,1991-10-03,Argentina,1959-07-28,11755.0
Luis Molina,Prop,3 November 1959,11.0,Los Tarcos Rugby Club,Argentina,1991,1991-10-03,Argentina,1959-11-03,11657.0
Diego Cash,Prop,10 August 1961,35.0,San Isidro Club,Argentina,1991,1991-10-03,Argentina,1961-08-10,11011.0
Pablo Buabse,Lock,27 March 1963,2.0,Los Tarcos Rugby Club,Argentina,1991,1991-10-03,Argentina,1963-03-27,10417.0
Pedro Sporleder,Lock,2 January 1971,6.0,Curupaytí,Argentina,1991,1991-10-03,Argentina,1971-01-02,7579.0
Agustín Zanoni,Lock,18 October 1966,0.0,Club Pueyrredón,Argentina,1991,1991-10-03,Argentina,1966-10-18,9116.0
Germán Llanes,Lock,27 May 1968,6.0,La Plata Rugby Club,Argentina,1991,1991-10-03,Argentina,1968-05-27,8529.0
Francisco Irarrázaval,Back row,5 October 1971,0.0,Club Newman,Argentina,1991,1991-10-03,Argentina,1971-10-05,7303.0
Pablo Garretón (c),Back row,26 June 1966,24.0,Universitario Rugby Club de Tucumán,Argentina,1991,1991-10-03,Argentina,1966-06-26,9230.0
Mario Carreras,Back row,14 April 1966,4.0,Olivos Rugby Club,Argentina,1991,1991-10-03,Argentina,1966-04-14,9303.0
José Santamarina,Back row,21 May 1963,3.0,Tucumán Rugby Club,Argentina,1991,1991-10-03,Argentina,1963-05-21,10362.0
Gonzalo Camardón,Scrum-half,19 December 1970,3.0,Asociación Alumni,Argentina,1991,1991-10-03,Argentina,1970-12-19,7593.0
Guillermo del Castillo,Fly-half,14 December 1963,3.0,Jockey Club de Rosario,Argentina,1991,1991-10-03,Argentina,1963-12-14,10155.0
Lisandro Arbizu,Fly-half,29 September 1971,5.0,Belgrano Athletic Club,Argentina,1991,1991-10-03,Argentina,1971-09-29,7309.0
Hernán García Simón,Centre,11 January 1965,3.0,Club Pueyrredón,Argentina,1991,1991-10-03,Argentina,1965-01-11,9761.0
Eduardo Laborde,Centre,19 October 1967,0.0,Club Pucará,Argentina,1991,1991-10-03,Argentina,1967-10-19,8750.0
Matías Allen,Centre,29 April 1968,5.0,Club Atlético San Isidro,Argentina,1991,1991-10-03,Argentina,1968-04-29,8557.0
Diego Cuesta Silva,Wing,23 January 1963,34.0,San Isidro Club,Argentina,1991,1991-10-03,Argentina,1963-01-23,10480.0
Martín Terán,Wing,25 July 1969,3.0,Tucumán Rugby Club,Argentina,1991,1991-10-03,Argentina,1969-07-25,8105.0
Gustavo Jorge,Wing,24 October 1971,6.0,Club Atlético San Isidro,Argentina,1991,1991-10-03,Argentina,1971-10-24,7284.0
Santiago Mesón,Fullback,25 January 1968,11.0,Tucumán Rugby Club,Argentina,1991,1991-10-03,Argentina,1968-01-25,8652.0
Guillermo Angaut,Fullback,10 January 1965,6.0,La Plata Rugby Club,Argentina,1991,1991-10-03,Argentina,1965-01-10,9762.0
Phil Kearns,Hooker,27 June 1967,14.0,Randwick DRUFC / New South Wales,Australia,1991,1991-10-03,Australia,1967-06-27,8864.0
David Nucifora,Hooker,15 January 1962,0.0,University of Queensland R.C. / Queensland,Australia,1991,1991-10-03,Australia,1962-01-15,10853.0
Dan Crowley,Prop,28 August 1965,3.0,Souths Rugby / Queensland,Australia,1991,1991-10-03,Australia,1965-08-28,9532.0
Tony Daly,Prop,7 March 1966,14.0,Eastern Suburbs RUFC / New South Wales,Australia,1991,1991-10-03,Australia,1966-03-07,9341.0
Ewen McKenzie,Prop,21 June 1965,11.0,Randwick DRUFC / New South Wales,Australia,1991,1991-10-03,Australia,1965-06-21,9600.0
Cameron Lillicrap,Prop,19 April 1963,6.0,Souths Rugby / Queensland,Australia,1991,1991-10-03,Australia,1963-04-19,10394.0
John Eales,Lock,27 June 1970,4.0,Brothers Old Boys / Queensland,Australia,1991,1991-10-03,Australia,1970-06-27,7768.0
Rod McCall,Lock,20 September 1963,13.0,Brothers Old Boys / Queensland,Australia,1991,1991-10-03,Australia,1963-09-20,10240.0
Steve Cutler,Lock,28 July 1960,39.0,Gordon RFC / New South Wales,Australia,1991,1991-10-03,Australia,1960-07-28,11389.0
Simon Poidevin,Back row,31 October 1958,54.0,Randwick DRUFC / New South Wales,Australia,1991,1991-10-03,Australia,1958-10-31,12025.0
Jeff Miller,Back row,4 July 1962,23.0,North Brisbane Rugby Club / Queensland,Australia,1991,1991-10-03,Australia,1962-07-04,10683.0
Brendon Nasser,Back row,6 July 1964,7.0,University of Queensland Rugby Club / Queensland,Australia,1991,1991-10-03,Australia,1964-07-06,9950.0
Viliami Ofahengaue,Back row,3 May 1968,7.0,Manly RUFC / New South Wales,Australia,1991,1991-10-03,Australia,1968-05-03,8553.0
Troy Coker,Back row,30 May 1965,5.0,Wests Rugby / Queensland,Australia,1991,1991-10-03,Australia,1965-05-30,9622.0
Nick Farr-Jones (c),Scrum-half,18 April 1962,48.0,Sydney University Football Club / New South Wales,Australia,1991,1991-10-03,Australia,1962-04-18,10760.0
Peter Slattery,Scrum-half,6 June 1965,3.0,University of Queensland Rugby Club / Queensland,Australia,1991,1991-10-03,Australia,1965-06-06,9615.0
Michael Lynagh,Fly-half,25 October 1963,52.0,University of Queensland Rugby Club / Queensland,Australia,1991,1991-10-03,Australia,1963-10-25,10205.0
Tim Horan,Centre,18 May 1970,11.0,Souths Rugby / Queensland,Australia,1991,1991-10-03,Australia,1970-05-18,7808.0
Jason Little,Centre,26 August 1970,10.0,Souths Rugby / Queensland,Australia,1991,1991-10-03,Australia,1970-08-26,7708.0
David Campese,Wing,21 October 1962,58.0,Randwick DRUFC / New South Wales,Australia,1991,1991-10-03,Australia,1962-10-21,10574.0
Bob Egerton,Wing,6 March 1963,4.0,Sydney University Football Club / New South Wales,Australia,1991,1991-10-03,Australia,1963-03-06,10438.0
John Flett,Wing,15 June 1963,3.0,Randwick DRUFC / New South Wales,Australia,1991,1991-10-03,Australia,1963-06-15,10337.0
Marty Roebuck,Fullback,10 January 1965,4.0,Eastwood Rugby Club / New South Wales,Australia,1991,1991-10-03,Australia,1965-01-10,9762.0
Anthony Herbert,Fullback,13 August 1966,6.0,GPS Rugby / Queensland,Australia,1991,1991-10-03,Australia,1966-08-13,9182.0
Garin Jenkins,Hooker,18 August 1966,1.0,Pontypool RFC,Wales,1991,1991-10-03,Wales,1966-08-18,9177.0
Ken Waters,Hooker,9 October 1961,0.0,Newbridge RFC,Wales,1991,1991-10-03,Wales,1961-10-09,10951.0
Mark Davis,Prop,18 September 1970,1.0,Newport RFC,Wales,1991,1991-10-03,Wales,1970-09-18,7685.0
Hugh Williams-Jones,Prop,10 January 1963,4.0,South Wales Police RFC,Wales,1991,1991-10-03,Wales,1963-01-10,10493.0
Laurance Delaney,Prop,8 May 1956,5.0,Llanelli RFC,Wales,1991,1991-10-03,Wales,1956-05-08,12931.0
Mike Griffiths,Prop,18 March 1962,15.0,Cardiff RFC,Wales,1991,1991-10-03,Wales,1962-03-18,10791.0
Paul Arnold,Lock,28 April 1968,8.0,Swansea RFC,Wales,1991,1991-10-03,Wales,1968-04-28,8558.0
Phil May,Lock,1 July 1956,6.0,Llanelli RFC,Wales,1991,1991-10-03,Wales,1956-07-01,12877.0
Kevin Moseley,Lock,2 July 1963,6.0,Newport RFC,Wales,1991,1991-10-03,Wales,1963-07-02,10320.0
Phil Davies,Lock,19 October 1963,29.0,Llanelli RFC,Wales,1991,1991-10-03,Wales,1963-10-19,10211.0
Martyn Morris,Back row,23 August 1962,9.0,Neath RFC,Wales,1991,1991-10-03,Wales,1962-08-23,10633.0
Richie Collins,Back row,2 March 1962,16.0,Cardiff RFC,Wales,1991,1991-10-03,Wales,1962-03-02,10807.0
Richard Webster,Back row,3 May 1968,1.0,Swansea RFC,Wales,1991,1991-10-03,Wales,1968-05-03,8553.0
Emyr Lewis,Back row,29 August 1968,4.0,Llanelli RFC,Wales,1991,1991-10-03,Wales,1968-08-29,8435.0
Andy Booth,Scrum-half,8 December 1967,0.0,Cardiff RFC,Wales,1991,1991-10-03,Wales,1967-12-08,8700.0
Robert Jones,Scrum-half,10 November 1965,40.0,Swansea RFC,Wales,1991,1991-10-03,Wales,1965-11-10,9458.0
Tony Clement,Fly-half,8 February 1967,13.0,Swansea RFC,Wales,1991,1991-10-03,Wales,1967-02-08,9003.0
Adrian Davies,Fly-half,9 February 1969,2.0,Neath RFC,Wales,1991,1991-10-03,Wales,1969-02-09,8271.0
David Wyn Evans,Fly-half,1 November 1965,10.0,Cardiff RFC,Wales,1991,1991-10-03,Wales,1965-11-01,9467.0
Scott Gibbs,Centre,23 January 1971,6.0,Neath RFC,Wales,1991,1991-10-03,Wales,1971-01-23,7558.0
Mike Hall,Centre,13 October 1965,14.0,Cardiff RFC,Wales,1991,1991-10-03,Wales,1965-10-13,9486.0
Mark Ring,Centre,15 October 1962,29.0,Cardiff RFC,Wales,1991,1991-10-03,Wales,1962-10-15,10580.0
Arthur Emyr,Wing,27 July 1962,10.0,Cardiff RFC,Wales,1991,1991-10-03,Wales,1962-07-27,10660.0
Ieuan Evans (c),Wing,21 March 1964,24.0,Llanelli RFC,Wales,1991,1991-10-03,Wales,1964-03-21,10057.0
Steve Ford,Wing,15 August 1965,8.0,Cardiff RFC,Wales,1991,1991-10-03,Wales,1965-08-15,9545.0
Mike Rayer,Fullback,21 July 1965,0.0,Cardiff RFC,Wales,1991,1991-10-03,Wales,1965-07-21,9570.0
Stan To'omalatai,Hooker,13 December 1962,20.0,Vaiala Rugby Club,Samoa,1991,1991-10-03,Western Samoa,1962-12-13,10521.0
Peter Fatialofa (c),Prop,26 April 1959,9.0,Auckland R.F.U.,New Zealand,1991,1991-10-03,Western Samoa,1959-04-26,11848.0
Palamia Lilomaiava,Prop,23 March 1960,0.0,Marist St. Joseph,Samoa,1991,1991-10-03,Western Samoa,1960-03-23,11516.0
Vili Alaalatoa,Prop,9 August 1962,4.0,Manly RUFC,Australia,1991,1991-10-03,Western Samoa,1962-08-09,10647.0
David Sio,Prop,21 June 1962,1.0,Northern Suburbs Rugby Club,Australia,1991,1991-10-03,Western Samoa,1962-06-21,10696.0
Mark Birtwistle,Lock,17 October 1962,0.0,Wellington R.F.U.,New Zealand,1991,1991-10-03,Western Samoa,1962-10-17,10578.0
Mat Keenan,Lock,26 October 1960,0.0,Auckland Rugby Union,New Zealand,1991,1991-10-03,Western Samoa,1960-10-26,11299.0
Eddie Ioane,Lock,2 June 1966,4.0,Auckland Rugby Union,New Zealand,1991,1991-10-03,Western Samoa,1966-06-02,9254.0
Junior Paramore,Back row,18 November 1968,2.0,Counties Manukau R.F.U.,New Zealand,1991,1991-10-03,Western Samoa,1968-11-18,8354.0
Danny Kaleopa,Back row,3 May 1966,3.0,Canterbury R.F.U.,New Zealand,1991,1991-10-03,Western Samoa,1966-05-03,9284.0
Apollo Perelini,Back row,16 July 1969,2.0,Auckland R.F.U.,New Zealand,1991,1991-10-03,Western Samoa,1969-07-16,8114.0
Sila Vaifale,Back row,5 July 1967,8.0,Marist St. Joseph,Samoa,1991,1991-10-03,Western Samoa,1967-07-05,8856.0
Pat Lam,Back row,29 September 1968,0.0,Auckland R.F.U.,New Zealand,1991,1991-10-03,Western Samoa,1968-09-29,8404.0
Mathew Vaea,Scrum-half,12 September 1966,2.0,Marist St. Joseph,Samoa,1991,1991-10-03,Western Samoa,1966-09-12,9152.0
Tu Nu'uali'itia,Scrum-half,12 June 1971,0.0,Counties Manukau R.F.U.,New Zealand,1991,1991-10-03,Western Samoa,1971-06-12,7418.0
Stephen Bachop,Fly-half,2 April 1966,2.0,Canterbury R.F.U.,New Zealand,1991,1991-10-03,Western Samoa,1966-04-02,9315.0
Filipo Saena,Fly-half,6 June 1966,13.0,Moata'a Rugby Club,Samoa,1991,1991-10-03,Western Samoa,1966-06-06,9250.0
To'o Vaega,Centre,17 August 1965,12.0,Auckland R.F.U.,New Zealand,1991,1991-10-03,Western Samoa,1965-08-17,9543.0
Frank Bunce,Centre,4 February 1962,0.0,North Harbour R.F.U.,New Zealand,1991,1991-10-03,Western Samoa,1962-02-04,10833.0
Tupo Fa'amasino,Centre,13 April 1966,10.0,Wellington R.F.U.,New Zealand,1991,1991-10-03,Western Samoa,1966-04-13,9304.0
Timo Tagaloa,Wing,17 October 1964,5.0,Wellington R.F.U.,New Zealand,1991,1991-10-03,Western Samoa,1964-10-17,9847.0
Brian Lima,Wing,25 January 1972,2.0,Marist St. Joseph,Samoa,1991,1991-10-03,Western Samoa,1972-01-25,7191.0
Freddie Tuilagi,Wing,9 June 1971,0.0,Marist St. Joseph,Samoa,1991,1991-10-03,Western Samoa,1971-06-09,7421.0
Andrew Aiolupo,Fullback,19 April 1970,24.0,Moata'a Rugby Club,Samoa,1991,1991-10-03,Western Samoa,1970-04-19,7837.0
David Speirs,Hooker,15 September 1964,3.0,Meraloma Rugby,Canada,1991,1991-10-03,Canada,1964-09-15,9879.0
Karl Svoboda,Hooker,23 March 1962,11.0,Ajax Wanderers R.U.F.C.,Canada,1991,1991-10-03,Canada,1962-03-23,10786.0
Eddie Evans,Prop,15 September 1964,12.0,UBC Old Boys Ravens,Canada,1991,1991-10-03,Canada,1964-09-15,9879.0
Dan Jackart,Prop,4 May 1962,3.0,UBC Old Boys Ravens,Canada,1991,1991-10-03,Canada,1962-05-04,10744.0
Gary Dukelow,Prop,15 September 1956,14.0,James Bay A.A.,Canada,1991,1991-10-03,Canada,1956-09-15,12801.0
Paul Szabo,Prop,4 May 1962,3.0,Britannia Lions R.C.,Canada,1991,1991-10-03,Canada,1962-05-04,10744.0
Norm Hadley,Lock,2 December 1964,6.0,UBC Old Boys Ravens,Canada,1991,1991-10-03,Canada,1964-12-02,9801.0
John Robertsen,Lock,28 June 1958,7.0,UBC Old Boys Ravens,Canada,1991,1991-10-03,Canada,1958-06-28,12150.0
Ron van den Brink,Lock,30 September 1962,5.0,James Bay A.A.,Canada,1991,1991-10-03,Canada,1962-09-30,10595.0
Al Charron,Lock,28 June 1958,7.0,Ottawa Irish R.C.,Canada,1991,1991-10-03,Canada,1958-06-28,12150.0
Roy Radu,Back row,11 September 1963,12.0,UBC Old Boys Ravens,Canada,1991,1991-10-03,Canada,1963-09-11,10249.0
Bruce Breen,Back row,13 October 1961,6.0,Meraloma Rugby,Canada,1991,1991-10-03,Canada,1961-10-13,10947.0
Gord MacKinnon,Back row,27 August 1958,6.0,Britannia Lions R.C.,Canada,1991,1991-10-03,Canada,1958-08-27,12090.0
Glen Ennis,Back row,19 May 1964,15.0,James Bay A.A.,Canada,1991,1991-10-03,Canada,1964-05-19,9998.0
John Graf,Scrum-half,3 December 1968,4.0,UBC Old Boys Ravens,Canada,1991,1991-10-03,Canada,1968-12-03,8339.0
Chris Tynan,Scrum-half,11 July 1966,7.0,Meraloma Rugby,Canada,1991,1991-10-03,Canada,1966-07-11,9215.0
Gareth Rees,Fly-half,30 June 1967,13.0,Castaway Wanderers RFC,Canada,1991,1991-10-03,Canada,1967-06-30,8861.0
Scott Stewart,Fly-half,16 January 1969,3.0,UBC Old Boys Ravens,Canada,1991,1991-10-03,Canada,1969-01-16,8295.0
Steve Gray,Centre,19 July 1963,10.0,Burnaby Lake R.C.,Canada,1991,1991-10-03,Canada,1963-07-19,10303.0
Christian Stewart,Centre,17 October 1966,2.0,Meraloma Rugby,Canada,1991,1991-10-03,Canada,1966-10-17,9117.0
Tom Woods,Centre,29 October 1962,3.0,James Bay A.A.,Canada,1991,1991-10-03,Canada,1962-10-29,10566.0
John Lecky,Centre,15 February 1960,16.0,Meraloma Rugby,Canada,1991,1991-10-03,Canada,1960-02-15,11553.0
Dave Lougheed,Wing,11 April 1968,3.0,Toronto Welsh R.F.C.,Canada,1991,1991-10-03,Canada,1968-04-11,8575.0
Pat Palmer,Wing,6 November 1962,13.0,UBC Old Boys Ravens,Canada,1991,1991-10-03,Canada,1962-11-06,10558.0
Mark Wyatt (c),Fullback,12 April 1961,26.0,Velox Valhallians,Canada,1991,1991-10-03,Canada,1961-04-12,11131.0
Mosese Taga (c),Hooker,17 September 1964,16.0,Nabua,Fiji,1991,1991-10-03,Fiji,1964-09-17,9877.0
Dranivesi Baleiwai,Hooker,17 April 1964,2.0,Nadi,Fiji,1991,1991-10-03,Fiji,1964-04-17,10030.0
Salacieli Naivilawasa,Hooker,14 February 1961,20.0,Suva,Fiji,1991,1991-10-03,Fiji,1961-02-14,11188.0
Epeli Naituivau,Prop,22 May 1962,6.0,Suva,Fiji,1991,1991-10-03,Fiji,1962-05-22,10726.0
Peni Volavola,Prop,6 June 1963,9.0,Queensland,Australia,1991,1991-10-03,Fiji,1963-06-06,10346.0
Naibuka Vuli,Prop,6 June 1960,0.0,Nasinu,Fiji,1991,1991-10-03,Fiji,1960-06-06,11441.0
Sam Domoni,Lock,25 December 1968,4.0,Rewa,Fiji,1991,1991-10-03,Fiji,1968-12-25,8317.0
Ilaitia Savai,Lock,12 July 1960,24.0,Nadroga,Fiji,1991,1991-10-03,Fiji,1960-07-12,11405.0
Aisake Nadolo,Lock,13 July 1964,12.0,Suva,Fiji,1991,1991-10-03,Fiji,1964-07-13,9943.0
Alifereti Dere,Back row,29 September 1961,9.0,Fiji Army,Fiji,1991,1991-10-03,Fiji,1961-09-29,10961.0
Laisenia Katonawale,Back row,14 November 1966,2.0,Suva,Fiji,1991,1991-10-03,Fiji,1966-11-14,9089.0
Max Olsson,Back row,19 July 1967,6.0,Suva,Fiji,1991,1991-10-03,Fiji,1967-07-19,8842.0
Tevita Vonolagi,Back row,29 November 1963,10.0,Fiji Army,Fiji,1991,1991-10-03,Fiji,1963-11-29,10170.0
Pita Naruma,Back row,27 November 1959,9.0,Suva,Fiji,1991,1991-10-03,Fiji,1959-11-27,11633.0
Ifereimi Tawake,Back row,21 September 1962,8.0,Nadroga,Fiji,1991,1991-10-03,Fiji,1962-09-21,10604.0
Pauliasi Tabulutu,Scrum-half,15 July 1967,14.0,Nabua,Fiji,1991,1991-10-03,Fiji,1967-07-15,8846.0
Mosese Vosanibola,Scrum-half,28 July 1962,1.0,Nabua,Fiji,1991,1991-10-03,Fiji,1962-07-28,10659.0
Waisale Serevi,Fly-half,20 May 1968,6.0,Nabua,Fiji,1991,1991-10-03,Fiji,1968-05-20,8536.0
Tomasi Rabaka,Fly-half,5 December 1965,3.0,Nadi,Fiji,1991,1991-10-03,Fiji,1965-12-05,9433.0
Kalaveti Naisoro,Centre,14 February 1969,3.0,Lautoka,Fiji,1991,1991-10-03,Fiji,1969-02-14,8266.0
Savenaca Aria,Centre,30 April 1964,5.0,Nadi,Fiji,1991,1991-10-03,Fiji,1964-04-30,10017.0
Tomasi Lovo,Wing,5 November 1960,4.0,Nasinu,Fiji,1991,1991-10-03,Fiji,1960-11-05,11289.0
Noa Nadruku,Wing,19 September 1967,11.0,Nadroga,Fiji,1991,1991-10-03,Fiji,1967-09-19,8780.0
Fili Seru,Wing,11 March 1970,5.0,Nabua,Fiji,1991,1991-10-03,Fiji,1970-03-11,7876.0
Severo Koroduadua,Fullback,22 December 1960,21.0,Fiji Police,Fiji,1991,1991-10-03,Fiji,1960-12-22,11242.0
Opeti Turuva,Fullback,8 July 1967,2.0,Nadi,Fiji,1991,1991-10-03,Fiji,1967-07-08,8853.0
Grégoire Lascubé,Hooker,3 April 1962,6.0,SU Agen,France,1991,1991-10-03,France,1962-04-03,10775.0
Philippe Marocco,Hooker,14 June 1960,17.0,AS Montferrand,France,1991,1991-10-03,France,1960-06-14,11433.0
Pascal Ondarts,Prop,1 April 1956,38.0,Biarritz Olympique,France,1991,1991-10-03,France,1956-04-01,12968.0
Philippe Gimbert,Prop,20 March 1966,2.0,CA Bordeaux-Bègles Gironde,France,1991,1991-10-03,France,1966-03-20,9328.0
Louis Armary,Prop,24 July 1963,21.0,FC Lourdes,France,1991,1991-10-03,France,1963-07-24,10298.0
Jean-Marie Cadieu,Lock,16 October 1963,2.0,Stade Toulousain,France,1991,1991-10-03,France,1963-10-16,10214.0
Olivier Roumat,Lock,10 June 1966,19.0,US Dax,France,1991,1991-10-03,France,1966-06-10,9246.0
Thierry Devergie,Back row,27 July 1966,15.0,RC Nîmes,France,1991,1991-10-03,France,1966-07-27,9199.0
Éric Champ,Back row,8 June 1962,38.0,RC Toulonnais,France,1991,1991-10-03,France,1962-06-08,10709.0
Laurent Cabannes,Back row,6 February 1964,7.0,Racing Club de France,France,1991,1991-10-03,France,1964-02-06,10101.0
Michel Courtiols,Back row,27 April 1965,3.0,CA Bordeaux-Bègles Gironde,France,1991,1991-10-03,France,1965-04-27,9655.0
Abdelatif Benazzi,Back row,20 August 1968,8.0,SU Agen,France,1991,1991-10-03,France,1968-08-20,8444.0
Marc Cécillon,Back row,30 July 1959,17.0,CS Bourgoin-Jallieu,France,1991,1991-10-03,France,1959-07-30,11753.0
Fabien Galthié,Scrum-half,20 March 1969,2.0,US Colomiers,France,1991,1991-10-03,France,1969-03-20,8232.0
Henri Sanz,Scrum-half,17 June 1963,11.0,RC Narbonne,France,1991,1991-10-03,France,1963-06-17,10335.0
Didier Camberabero,Fly-half,9 January 1961,30.0,FC Grenoble,France,1991,1991-10-03,France,1961-01-09,11224.0
Thierry Lacroix,Fly-half,2 March 1967,4.0,US Dax,France,1991,1991-10-03,France,1967-03-02,8981.0
Philippe Sella,Centre,14 February 1962,76.0,SU Agen,France,1991,1991-10-03,France,1962-02-14,10823.0
Franck Mesnel,Centre,30 June 1961,41.0,Racing Club de France,France,1991,1991-10-03,France,1961-06-30,11052.0
Philippe Saint-André,Wing,19 April 1967,10.0,ASM Montferrand,France,1991,1991-10-03,France,1967-04-19,8933.0
Jean-Baptiste Lafond,Wing,29 December 1961,24.0,Racing Club de France,France,1991,1991-10-03,France,1961-12-29,10870.0
Patrice Lagisquet,Wing,4 September 1962,45.0,Aviron Bayonnais,France,1991,1991-10-03,France,1962-09-04,10621.0
Serge Blanco (c),Fullback,31 August 1958,89.0,Biarritz Olympique,France,1991,1991-10-03,France,1958-08-31,12086.0
Jean-Luc Sadourny,Fullback,26 August 1966,1.0,US Colomiers,France,1991,1991-10-03,France,1966-08-26,9169.0
Gheorghe Ion,Hooker,27 July 1960,22.0,unknown,,1991,1991-10-03,Romania,1960-07-27,11390.0
Gabriel Vlad,Prop,9 April 1969,0.0,RC Grivița București,Romania,1991,1991-10-03,Romania,1969-04-09,8212.0
Viorel Ionescu,Prop,30 November 1968,0.0,unknown,,1991,1991-10-03,Romania,1968-11-30,8342.0
Constantin Stan,Prop,10 January 1969,5.0,unknown,,1991,1991-10-03,Romania,1969-01-10,8301.0
Gheorghe Leonte,Prop,12 February 1963,33.0,CS Vienne Rugby,France,1991,1991-10-03,Romania,1963-02-12,10460.0
Gheorghe Corneliu,Prop,unknown,8.0,unknown,,1991,1991-10-03,Romania,,
Sandu Ciorăscu,Lock,11 September 1966,20.0,CSM Baia Mare,Romania,1991,1991-10-03,Romania,1966-09-11,9153.0
Constantin Cojocariu,Lock,27 June 1965,10.0,CSM Baia Mare,Romania,1991,1991-10-03,Romania,1965-06-27,9594.0
Micușor Marin,Lock,9 July 1967,0.0,unknown,,1991,1991-10-03,Romania,1967-07-09,8852.0
Gheorghe Dinu,Back row,16 November 1962,8.0,unknown,,1991,1991-10-03,Romania,1962-11-16,10548.0
Ioan Doja,Back row,11 November 1966,13.0,unknown,,1991,1991-10-03,Romania,1966-11-11,9092.0
Andrei Gurănescu,Back row,24 July 1967,1.0,CS Dinamo București,Romania,1991,1991-10-03,Romania,1967-07-24,8837.0
Haralambie Dumitraș (c),Back row,11 February 1960,34.0,RC Strasbourg,France,1991,1991-10-03,Romania,1960-02-11,11557.0
Tiberiu Brînză,Back row,21 September 1968,2.0,RC Narbonne,France,1991,1991-10-03,Romania,1968-09-21,8412.0
Mihai Foca,Scrum-half,1 October 1967,0.0,unknown,,1991,1991-10-03,Romania,1967-10-01,8768.0
Daniel Neaga,Scrum-half,5 November 1965,20.0,CS Dinamo București,Romania,1991,1991-10-03,Romania,1965-11-05,9463.0
Ilie Ivanciuc,Fly-half,26 July 1971,0.0,CSM Bucovina Suceava,Romania,1991,1991-10-03,Romania,1971-07-26,7374.0
Neculai Nichitean,Fly-half,27 September 1969,6.0,CSM Bucovina Suceava,Romania,1991,1991-10-03,Romania,1969-09-27,8041.0
Nicolae Fulina,Centre,22 October 1965,13.0,unknown,,1991,1991-10-03,Romania,1965-10-22,9477.0
Nicolae Răcean,Centre,29 November 1963,15.0,CS Universitatea Cluj-Napoca,Romania,1991,1991-10-03,Romania,1963-11-29,10170.0
Adrian Lungu,Centre,5 September 1960,67.0,CS Dinamo București,Romania,1991,1991-10-03,Romania,1960-09-05,11350.0
George Sava,Centre,4 August 1966,9.0,CS Știința Petroșani,Romania,1991,1991-10-03,Romania,1966-08-04,9191.0
Ștefan Tofan,Centre,25 February 1965,17.0,CS Dinamo București,Romania,1991,1991-10-03,Romania,1965-02-25,9716.0
